,Residence State,Residence State Code,Gender,Gender Code,Year,Year Code,Deaths,Population,Crude Rate
0,Alabama,1,Female,F,2018,2018,109,2523756,4.3
1,Alabama,1,Female,F,2019,2019,108,2533668,4.3
2,Alabama,1,Female,F,2020,2020,104,2544566,4.1
3,Alabama,1,Female,F,2021,2021,118,2591778,4.6
4,Alabama,1,Female,F,2022 (provisional),2022,93,2591778,3.6
5,Alabama,1,Male,M,2018,2018,459,2364115,19.4
6,Alabama,1,Male,M,2019,2019,479,2369517,20.2
7,Alabama,1,Male,M,2020,2020,550,2376966,23.1
8,Alabama,1,Male,M,2021,2021,630,2448099,25.7
9,Alabama,1,Male,M,2022 (provisional),2022,447,2448099,18.3
10,Alaska,2,Female,F,2018,2018,13,352865,Unreliable
11,Alaska,2,Female,F,2019,2019,30,350127,8.6
12,Alaska,2,Female,F,2020,2020,19,349621,Unreliable
13,Alaska,2,Female,F,2021,2021,14,348469,Unreliable
14,Alaska,2,Female,F,2022 (provisional),2022,22,348469,6.3
15,Alaska,2,Male,M,2018,2018,43,384573,11.2
16,Alaska,2,Male,M,2019,2019,48,381418,12.6
17,Alaska,2,Male,M,2020,2020,36,381537,9.4
18,Alaska,2,Male,M,2021,2021,35,384204,9.1
19,Alaska,2,Male,M,2022 (provisional),2022,42,384204,10.9
20,Arizona,4,Female,F,2018,2018,83,3606307,2.3
21,Arizona,4,Female,F,2019,2019,94,3661420,2.6
22,Arizona,4,Female,F,2020,2020,110,3735475,2.9
23,Arizona,4,Female,F,2021,2021,103,3642602,2.8
24,Arizona,4,Female,F,2022 (provisional),2022,94,3642602,2.6
25,Arizona,4,Male,M,2018,2018,337,3565339,9.5
26,Arizona,4,Male,M,2019,2019,320,3617297,8.8
27,Arizona,4,Male,M,2020,2020,415,3685926,11.3
28,Arizona,4,Male,M,2021,2021,459,3633714,12.6
29,Arizona,4,Male,M,2022 (provisional),2022,380,3633714,10.5
30,Arkansas,5,Female,F,2018,2018,67,1533682,4.4
31,Arkansas,5,Female,F,2019,2019,64,1536188,4.2
32,Arkansas,5,Female,F,2020,2020,89,1543666,5.8
33,Arkansas,5,Female,F,2021,2021,65,1532713,4.2
34,Arkansas,5,Female,F,2022 (provisional),2022,59,1532713,3.8
35,Arkansas,5,Male,M,2018,2018,197,1480143,13.3
36,Arkansas,5,Male,M,2019,2019,206,1481616,13.9
37,Arkansas,5,Male,M,2020,2020,282,1486856,19
38,Arkansas,5,Male,M,2021,2021,270,1493178,18.1
39,Arkansas,5,Male,M,2022 (provisional),2022,198,1493178,13.3
40,California,6,Female,F,2018,2018,353,19893468,1.8
41,California,6,Female,F,2019,2019,317,19867369,1.6
42,California,6,Female,F,2020,2020,381,19790589,1.9
43,California,6,Female,F,2021,2021,383,19620646,2
44,California,6,Female,F,2022 (provisional),2022,259,19620646,1.3
45,California,6,Male,M,2018,2018,1537,19663577,7.8
46,California,6,Male,M,2019,2019,1477,19644854,7.5
47,California,6,Male,M,2020,2020,1987,19577489,10.1
48,California,6,Male,M,2021,2021,2112,19617190,10.8
49,California,6,Male,M,2022 (provisional),2022,1517,19617190,7.7
50,Colorado,8,Female,F,2018,2018,52,2827696,1.8
51,Colorado,8,Female,F,2019,2019,61,2857388,2.1
52,Colorado,8,Female,F,2020,2020,73,2881832,2.5
53,Colorado,8,Female,F,2021,2021,96,2867419,3.3
54,Colorado,8,Female,F,2022 (provisional),2022,74,2867419,2.6
55,Colorado,8,Male,M,2018,2018,211,2867868,7.4
56,Colorado,8,Male,M,2019,2019,189,2901348,6.5
57,Colorado,8,Male,M,2020,2020,263,2925887,9
58,Colorado,8,Male,M,2021,2021,272,2944650,9.2
59,Colorado,8,Male,M,2022 (provisional),2022,210,2944650,7.1
60,Connecticut,9,Female,F,2018,2018,25,1829270,1.4
61,Connecticut,9,Female,F,2019,2019,20,1825870,1.1
62,Connecticut,9,Female,F,2020,2020,32,1822086,1.8
63,Connecticut,9,Female,F,2021,2021,33,1836010,1.8
64,Connecticut,9,Female,F,2022 (provisional),2022,22,1836010,1.2
65,Connecticut,9,Male,M,2018,2018,67,1743395,3.8
66,Connecticut,9,Male,M,2019,2019,86,1739417,4.9
67,Connecticut,9,Male,M,2020,2020,120,1734920,6.9
68,Connecticut,9,Male,M,2021,2021,127,1769587,7.2
69,Connecticut,9,Male,M,2022 (provisional),2022,86,1769587,4.9
70,Delaware,10,Female,F,2018,2018,15,499244,Unreliable
71,Delaware,10,Female,F,2020,2020,17,510069,Unreliable
72,Delaware,10,Female,F,2021,2021,23,516048,4.5
73,Delaware,10,Male,M,2018,2018,42,467927,9
74,Delaware,10,Male,M,2019,2019,44,470793,9.3
75,Delaware,10,Male,M,2020,2020,69,476740,14.5
76,Delaware,10,Male,M,2021,2021,80,487336,16.4
77,Delaware,10,Male,M,2022 (provisional),2022,41,487336,8.4
78,District of Columbia,11,Female,F,2018,2018,17,369148,Unreliable
79,District of Columbia,11,Female,F,2019,2019,13,371038,Unreliable
80,District of Columbia,11,Female,F,2020,2020,26,374884,6.9
81,District of Columbia,11,Female,F,2021,2021,33,351146,9.4
82,District of Columbia,11,Female,F,2022 (provisional),2022,19,351146,Unreliable
83,District of Columbia,11,Male,M,2018,2018,127,333307,38.1
84,District of Columbia,11,Male,M,2019,2019,149,334711,44.5
85,District of Columbia,11,Male,M,2020,2020,161,337932,47.6
86,District of Columbia,11,Male,M,2021,2021,190,318904,59.6
87,District of Columbia,11,Male,M,2022 (provisional),2022,117,318904,36.7
88,Florida,12,Female,F,2018,2018,312,10887548,2.9
89,Florida,12,Female,F,2019,2019,288,10980681,2.6
90,Florida,12,Female,F,2020,2020,320,11113132,2.9
91,Florida,12,Female,F,2021,2021,306,11070771,2.8
92,Florida,12,Female,F,2022 (provisional),2022,215,11070771,1.9
93,Florida,12,Male,M,2018,2018,1003,10411777,9.6
94,Florida,12,Male,M,2019,2019,1046,10497056,10
95,Florida,12,Male,M,2020,2020,1210,10620180,11.4
96,Florida,12,Male,M,2021,2021,1162,10710357,10.8
97,Florida,12,Male,M,2022 (provisional),2022,861,10710357,8
98,Georgia,13,Female,F,2018,2018,161,5404059,3
99,Georgia,13,Female,F,2019,2019,170,5456999,3.1
100,Georgia,13,Female,F,2020,2020,191,5508468,3.5
101,Georgia,13,Female,F,2021,2021,240,5529805,4.3
102,Georgia,13,Female,F,2022 (provisional),2022,180,5529805,3.3
103,Georgia,13,Male,M,2018,2018,633,5115416,12.4
104,Georgia,13,Male,M,2019,2019,679,5160424,13.2
105,Georgia,13,Male,M,2020,2020,902,5201549,17.3
106,Georgia,13,Male,M,2021,2021,966,5269761,18.3
107,Georgia,13,Male,M,2022 (provisional),2022,702,5269761,13.3
108,Hawaii,15,Female,F,2018,2018,10,709489,Unreliable
109,Hawaii,15,Female,F,2019,2019,10,707832,Unreliable
110,Hawaii,15,Female,F,2020,2020,12,702640,Unreliable
111,Hawaii,15,Male,M,2018,2018,30,711002,4.2
112,Hawaii,15,Male,M,2019,2019,25,708040,3.5
113,Hawaii,15,Male,M,2020,2020,34,704366,4.8
114,Hawaii,15,Male,M,2021,2021,30,725333,4.1
115,Hawaii,15,Male,M,2022 (provisional),2022,22,725333,3
116,Idaho,16,Female,F,2018,2018,14,875131,Unreliable
117,Idaho,16,Female,F,2019,2019,10,891137,Unreliable
118,Idaho,16,Female,F,2020,2020,13,910789,Unreliable
119,Idaho,16,Male,M,2018,2018,27,879077,3.1
120,Idaho,16,Male,M,2019,2019,17,895928,Unreliable
121,Idaho,16,Male,M,2020,2020,29,916124,3.2
122,Idaho,16,Male,M,2021,2021,32,958616,3.3
123,Idaho,16,Male,M,2022 (provisional),2022,28,958616,2.9
124,Illinois,17,Female,F,2018,2018,168,6480179,2.6
125,Illinois,17,Female,F,2019,2019,161,6445263,2.5
126,Illinois,17,Female,F,2020,2020,165,6402224,2.6
127,Illinois,17,Female,F,2021,2021,221,6406387,3.4
128,Illinois,17,Female,F,2022 (provisional),2022,163,6406387,2.5
129,Illinois,17,Male,M,2018,2018,826,6260901,13.2
130,Illinois,17,Male,M,2019,2019,818,6226558,13.1
131,Illinois,17,Male,M,2020,2020,1188,6185306,19.2
132,Illinois,17,Male,M,2021,2021,1266,6265082,20.2
133,Illinois,17,Male,M,2022 (provisional),2022,832,6265082,13.3
134,Indiana,18,Female,F,2018,2018,102,3391576,3
135,Indiana,18,Female,F,2019,2019,93,3411859,2.7
136,Indiana,18,Female,F,2020,2020,129,3422994,3.8
137,Indiana,18,Female,F,2021,2021,154,3428315,4.5
138,Indiana,18,Female,F,2022 (provisional),2022,92,3428315,2.7
139,Indiana,18,Male,M,2018,2018,371,3300302,11.2
140,Indiana,18,Male,M,2019,2019,373,3320360,11.2
141,Indiana,18,Male,M,2020,2020,491,3331959,14.7
142,Indiana,18,Male,M,2021,2021,470,3377670,13.9
143,Indiana,18,Male,M,2022 (provisional),2022,328,3377670,9.7
144,Iowa,19,Female,F,2018,2018,27,1585338,1.7
145,Iowa,19,Female,F,2019,2019,19,1583995,Unreliable
146,Iowa,19,Female,F,2020,2020,27,1587866,1.7
147,Iowa,19,Female,F,2021,2021,28,1591695,1.8
148,Iowa,19,Female,F,2022 (provisional),2022,21,1591695,1.3
149,Iowa,19,Male,M,2018,2018,54,1570807,3.4
150,Iowa,19,Male,M,2019,2019,61,1571075,3.9
151,Iowa,19,Male,M,2020,2020,79,1575695,5
152,Iowa,19,Male,M,2021,2021,66,1601384,4.1
153,Iowa,19,Male,M,2022 (provisional),2022,47,1601384,2.9
154,Kansas,20,Female,F,2018,2018,41,1461099,2.8
155,Kansas,20,Female,F,2019,2019,28,1461617,1.9
156,Kansas,20,Female,F,2020,2020,37,1462265,2.5
157,Kansas,20,Female,F,2021,2021,42,1464091,2.9
158,Kansas,20,Female,F,2022 (provisional),2022,27,1464091,1.8
159,Kansas,20,Male,M,2018,2018,119,1450406,8.2
160,Kansas,20,Male,M,2019,2019,109,1451697,7.5
161,Kansas,20,Male,M,2020,2020,158,1451540,10.9
162,Kansas,20,Male,M,2021,2021,138,1470491,9.4
163,Kansas,20,Male,M,2022 (provisional),2022,106,1470491,7.2
164,Kentucky,21,Female,F,2018,2018,62,2266891,2.7
165,Kentucky,21,Female,F,2019,2019,49,2266644,2.2
166,Kentucky,21,Female,F,2020,2020,100,2271906,4.4
167,Kentucky,21,Female,F,2021,2021,76,2275505,3.3
168,Kentucky,21,Female,F,2022 (provisional),2022,70,2275505,3.1
169,Kentucky,21,Male,M,2018,2018,196,2201511,8.9
