,State,Year,Gender,Gender Code,Deaths,Population,Crude Rate
0,Alabama,1999,Female,F,125,2293259,5.5
1,Alabama,1999,Male,M,313,2136884,14.6
2,Alabama,2000,Female,F,105,2300596,4.6
3,Alabama,2000,Male,M,339,2146504,15.8
4,Alabama,2001,Female,F,106,2309496,4.6
5,Alabama,2001,Male,M,319,2158138,14.8
6,Alabama,2002,Female,F,92,2314370,4.0
7,Alabama,2002,Male,M,324,2165719,15.0
8,Alabama,2003,Female,F,99,2324069,4.3
9,Alabama,2003,Male,M,335,2179422,15.4
10,Alabama,2004,Female,F,89,2337857,3.8
11,Alabama,2004,Male,M,280,2192872,12.8
12,Alabama,2005,Female,F,95,2356423,4.0
13,Alabama,2005,Male,M,338,2213382,15.3
14,Alabama,2006,Female,F,90,2385480,3.8
15,Alabama,2006,Male,M,355,2243501,15.8
16,Alabama,2007,Female,F,103,2407275,4.3
17,Alabama,2007,Male,M,377,2265565,16.6
18,Alabama,2008,Female,F,94,2430257,3.9
19,Alabama,2008,Male,M,360,2287949,15.7
20,Alabama,2009,Female,F,100,2448159,4.1
21,Alabama,2009,Male,M,312,2309779,13.5
22,Alabama,2010,Female,F,76,2459548,3.1
23,Alabama,2010,Male,M,315,2320188,13.6
24,Alabama,2011,Female,F,82,2473249,3.3
25,Alabama,2011,Male,M,310,2329491,13.3
26,Alabama,2012,Female,F,73,2483466,2.9
27,Alabama,2012,Male,M,332,2338557,14.2
28,Alabama,2013,Female,F,85,2488375,3.4
29,Alabama,2013,Male,M,332,2345347,14.2
30,Alabama,2014,Female,F,70,2499410,2.8
31,Alabama,2014,Male,M,304,2349967,12.9
32,Alabama,2015,Female,F,102,2505795,4.1
33,Alabama,2015,Male,M,371,2353184,15.8
34,Alabama,2016,Female,F,98,2507714,3.9
35,Alabama,2016,Male,M,446,2355586,18.9
36,Alabama,2017,Female,F,127,2514911,5.0
37,Alabama,2017,Male,M,475,2359836,20.1
38,Alabama,2018,Female,F,109,2523756,4.3
39,Alabama,2018,Male,M,459,2364115,19.4
40,Alabama,2019,Female,F,108,2533668,4.3
41,Alabama,2019,Male,M,479,2369517,20.2
42,Alabama,2020,Female,F,104,2544566,4.1
43,Alabama,2020,Male,M,550,2376966,23.1
44,Alaska,1999,Female,F,15,301267,Unreliable
45,Alaska,1999,Male,M,36,323514,11.1
46,Alaska,2000,Male,M,30,324112,9.3
47,Alaska,2001,Female,F,13,305579,Unreliable
48,Alaska,2001,Male,M,25,328135,7.6
49,Alaska,2002,Female,F,20,309633,6.5
50,Alaska,2002,Male,M,20,332704,6.0
51,Alaska,2003,Female,F,18,313034,Unreliable
52,Alaska,2003,Male,M,29,335380,8.6
53,Alaska,2004,Female,F,10,317807,Unreliable
54,Alaska,2004,Male,M,31,341479,9.1
55,Alaska,2005,Female,F,13,320920,Unreliable
56,Alaska,2005,Male,M,24,346026,6.9
57,Alaska,2006,Male,M,36,350181,10.3
58,Alaska,2007,Female,F,13,327138,Unreliable
59,Alaska,2007,Male,M,37,353162,10.5
60,Alaska,2008,Male,M,22,358043,6.1
61,Alaska,2009,Male,M,20,361893,5.5
62,Alaska,2010,Male,M,36,369628,9.7
63,Alaska,2011,Male,M,27,375192,7.2
64,Alaska,2012,Female,F,11,350211,Unreliable
65,Alaska,2012,Male,M,27,381238,7.1
66,Alaska,2013,Male,M,34,385568,8.8
67,Alaska,2014,Female,F,15,349436,Unreliable
68,Alaska,2014,Male,M,22,387296,5.7
69,Alaska,2015,Female,F,18,349407,Unreliable
70,Alaska,2015,Male,M,44,389025,11.3
71,Alaska,2016,Female,F,22,353762,6.2
72,Alaska,2016,Male,M,32,388132,8.2
73,Alaska,2017,Female,F,22,353003,6.2
74,Alaska,2017,Male,M,56,386792,14.5
75,Alaska,2018,Female,F,13,352865,Unreliable
76,Alaska,2018,Male,M,43,384573,11.2
77,Alaska,2019,Female,F,30,350127,8.6
78,Alaska,2019,Male,M,48,381418,12.6
79,Alaska,2020,Female,F,19,349621,Unreliable
80,Alaska,2020,Male,M,36,381537,9.4
